Area,Palmitic,Palmitoleic,Stearic,Oleic,Linoleic
South,1369,104,237,7375,775
South,993,58,267,7743,773
South,980,53,254,7719,815
South,967,55,273,7692,833
South,1128,73,354,7527,728
South,1188,85,273,7445,814
South,1257,95,247,7405,812
South,1262,88,301,7471,704
South,1283,153,196,7107,1115
South,1263,155,199,7140,1148
South,1369,158,215,7160,958
South,1353,172,175,6965,1212
South,1187,139,185,7427,952
South,1732,231,156,6437,1313
South,1620,255,166,6628,1212
South,1543,172,193,6740,1157
South,1498,170,195,6804,1206
South,1399,169,171,7011,1100
South,1293,156,191,7101,1111
South,1420,175,152,7004,1149
South,1721,238,255,6300,1350
South,1742,221,156,6415,1315
South,1391,187,189,6975,1062
South,1517,206,249,6680,1205
South,1269,157,193,7140,1148
South,1577,204,208,6732,1183
South,1590,241,195,6705,1149
South,1621,280,197,6608,1179
South,1753,275,236,6367,1214
South,1679,260,177,6568,1191
South,1419,203,176,6973,1083
South,1693,236,174,6499,1204
South,1692,270,234,6499,1196
South,1638,252,215,6570,1199
South,1497,247,219,6621,1270
South,1442,222,194,6677,1314
South,1680,270,170,6440,1310
South,1463,164,185,6909,1154
Sardinia,1129,120,222,7272,1112
Sardinia,1042,135,210,7376,1116
Sardinia,1103,96,210,7380,1085
Sardinia,1118,97,221,7279,1154
Sardinia,1052,95,215,7388,1126
Sardinia,1116,102,231,7290,1168
Sardinia,1108,132,231,7319,1101
Sardinia,1129,108,212,7386,1074
Sardinia,1085,91,223,7384,1126
Sardinia,1104,103,233,7322,1147
Sardinia,1098,88,212,7338,1140
Sardinia,1135,98,251,7120,1314
Sardinia,1158,108,245,7065,1326
Sardinia,1133,110,241,7080,1342
Sardinia,1095,125,250,7120,1305
Sardinia,1201,87,238,6990,1383
Sardinia,1213,112,245,7007,1335
Sardinia,1108,92,231,7367,1110
Sardinia,1075,103,207,7413,1096
Sardinia,1059,96,228,7386,1128
Sardinia,1176,92,207,7347,1057
Sardinia,1159,98,213,7320,1108
Sardinia,1132,80,201,7398,1095
Sardinia,1107,75,220,7399,1096
Sardinia,1092,104,234,7355,1126
Sardinia,1119,81,219,7409,1057
Sardinia,1106,93,212,7381,1104
Sardinia,1047,101,238,7385,1120
Sardinia,1165,99,214,7331,1101
Sardinia,1158,84,201,7327,1123
Sardinia,1095,88,203,7415,1093
Sardinia,1176,75,205,7396,1107
Sardinia,1103,109,220,7335,1140
Sardinia,1112,92,209,7356,1125
Sardinia,1091,93,222,7377,1113
Sardinia,1080,98,219,7371,1125
Sardinia,1051,108,227,7403,1114
Sardinia,1096,84,211,7415,1091
Sardinia,1142,97,225,7341,1101
Sardinia,1047,96,236,7399,1107
Sardinia,1114,86,210,7359,1116
Sardinia,1140,93,241,7324,1098
Sardinia,1075,91,200,7410,1107
Sardinia,1092,106,219,7427,1125
Sardinia,1076,95,204,7408,1130
Sardinia,1178,89,201,7381,1099
Sardinia,1095,104,223,7367,1111
Sardinia,1166,97,272,6971,1390
Sardinia,1154,119,257,7130,1253
Sardinia,1177,111,241,6882,1470
Sardinia,1160,96,240,7043,1357
Sardinia,1122,104,241,7145,1313
Sardinia,1132,99,257,7065,1362
Sardinia,1096,100,260,7162,1282
Sardinia,1131,87,233,7144,1307
Sardinia,1184,105,258,7020,1340
Sardinia,1135,94,235,7123,1320
Sardinia,1084,96,240,7164,1330
Sardinia,1086,127,252,7159,1285
Sardinia,1140,95,258,7085,1347
Sardinia,1138,101,254,7103,1310
Sardinia,1159,110,261,7068,1297
Sardinia,1051,78,211,7421,1146
Sardinia,1048,79,213,7439,1130
Sardinia,1061,86,220,7421,1102
Sardinia,1105,88,210,7353,1142
Sardinia,1145,35,237,7208,1118
Sardinia,1049,96,219,7303,1168
Sardinia,1105,120,218,7302,1158
Sardinia,1030,84,214,7403,1177
Sardinia,1070,98,215,7280,1240
Sardinia,1103,81,208,7310,1177
Sardinia,1040,101,205,7368,1176
Sardinia,1100,95,210,7320,1113
Sardinia,1118,85,199,7415,1060
Sardinia,1065,98,230,7345,1163
Sardinia,1131,78,221,7358,1120
Sardinia,1080,120,218,7296,1145
Sardinia,1075,86,231,7403,1109
Sardinia,1040,103,228,7364,1173
Sardinia,1128,82,203,7320,1148
Sardinia,1060,111,231,7363,1149
Sardinia,1103,78,220,7365,1149
Sardinia,1110,91,201,7318,1185
Sardinia,1091,108,218,7383,1183
Sardinia,1094,96,220,7341,1127
Sardinia,1131,87,208,7170,1308
Sardinia,1175,108,214,7076,1307
Sardinia,1076,77,202,7243,1305
Sardinia,1120,90,240,7068,1383
Sardinia,1152,111,238,7080,1372
Sardinia,1141,95,250,7035,1388
Sardinia,1098,103,267,7135,1301
Sardinia,1126,100,236,7062,1380
Sardinia,1087,89,243,7200,1302
Sardinia,1115,96,236,7085,1372
Sardinia,1178,92,241,7006,1376
Sardinia,1162,106,242,7025,1368
Centre North,1085,70,180,7955,605
Centre North,1085,70,185,7955,600
Centre North,1090,60,190,7950,600
Centre North,1080,65,189,7960,602
Centre North,1090,60,195,7955,600
Centre North,1105,55,200,7900,600
Centre North,1060,75,175,7975,610
Centre North,1050,70,170,7977,605
Centre North,1100,55,198,7905,600
Centre North,1065,65,178,7965,605
Centre North,1085,60,188,7955,602
Centre North,1080,65,180,7960,605
Centre North,1085,60,190,7955,602
Centre North,1075,68,195,7960,602
Centre North,1090,58,192,7950,600
Centre North,1095,60,198,7945,600
Centre North,1090,58,195,7950,600
Centre North,1095,58,198,7950,602
Centre North,1090,58,195,7940,600
Centre North,1095,58,198,7945,600
Centre North,1095,55,200,7940,600
Centre North,1080,70,188,7965,608
Centre North,1090,60,195,7950,600
Centre North,1105,55,200,7900,595
Centre North,1110,50,205,7900,595
Centre North,1075,70,198,7978,608
Centre North,1075,65,185,7980,608
Centre North,1065,75,180,7975,610
Centre North,1070,75,188,7980,602
Centre North,1070,75,188,7980,602
Centre North,1100,70,200,7910,610
Centre North,1075,70,185,7960,610
Centre North,1050,78,175,7990,610
Centre North,1090,60,198,7945,600
Centre North,1050,78,188,7990,608
Centre North,1075,70,190,7975,605
Centre North,1098,54,202,7945,595
Centre North,1105,15,198,8005,575
Centre North,1110,75,220,7915,510
Centre North,1058,50,178,7988,626
Centre North,1115,30,225,7955,600
Centre North,1105,30,198,7995,570
Centre North,1072,49,178,7980,615
Centre North,1110,15,210,7990,570
Centre North,1110,80,215,7910,525
Centre North,1055,60,175,7985,620
Centre North,1100,80,215,7930,535
Centre North,1105,55,205,7965,600
Centre North,1095,50,210,7948,600
Centre North,1110,50,220,7950,600
Centre North,1092,37,210,7955,600
Centre North,1290,60,260,7550,670
Centre North,1170,80,230,7690,720
Centre North,1100,90,250,7680,760
Centre North,1120,70,240,7720,730
Centre North,1160,70,250,7650,750
Centre North,1200,50,210,7770,690
Centre North,1140,50,200,7990,580
Centre North,1220,80,240,7610,760
Centre North,1180,90,250,7520,800
Centre North,1210,70,250,7560,780
Centre North,1220,80,220,7540,770
Centre North,1180,100,190,7520,820
Centre North,1160,90,220,7580,790
Centre North,1130,100,240,7620,780
Centre North,1080,100,260,7710,750
Centre North,1090,90,280,7730,720
Centre North,1020,100,270,7770,710
Centre North,1090,90,250,7680,760
Centre North,1120,100,260,7720,680
Centre North,1080,80,240,7830,670
Centre North,1160,70,230,7860,640
Centre North,1100,80,240,7820,670
Centre North,1050,100,250,7930,630
Centre North,1090,90,270,7780,690
Centre North,1120,80,260,7750,680
Centre North,1120,100,250,7680,730
Centre North,1190,90,230,7670,710
Centre North,1170,110,250,7620,740
Centre North,1120,100,230,7720,730
Centre North,1190,80,270,7690,720
Centre North,1400,90,270,7420,800
Centre North,1350,80,250,7520,760
Centre North,1090,60,220,7890,670
Centre North,1150,90,230,7790,650
Centre North,1240,90,220,7820,590
Centre North,1220,100,240,7890,530
Centre North,1180,80,250,7870,580
Centre North,1170,110,240,7730,630
Centre North,1170,100,280,7710,640
Centre North,1180,80,220,7790,680
Centre North,1200,90,240,7820,590
Centre North,1140,90,240,7880,570
Centre North,1160,70,210,7870,580
Centre North,1130,80,250,7780,650
Centre North,1150,80,240,7800,630
Centre North,1110,70,240,7820,670
Centre North,1150,70,220,7850,620
Centre North,1180,80,240,7760,670
Centre North,1020,80,250,7920,680
Centre North,610,80,230,8410,650
Centre North,1190,150,290,7340,1020
Centre North,1110,130,210,7550,1000
Centre North,1020,100,220,7530,1030
Centre North,1070,120,210,7600,990
Centre North,1010,90,350,7480,1050
Centre North,1060,140,240,7680,830
Centre North,1060,140,270,7620,880
Centre North,1030,100,230,7740,900
Centre North,1120,130,250,7530,970
Centre North,1030,110,220,7760,980
Centre North,1070,100,230,7600,990
Centre North,1140,180,220,7610,850
Centre North,1090,180,230,7590,860
Centre North,980,110,300,7720,910
Centre North,980,90,330,7540,1040
Centre North,960,90,200,7810,940
Centre North,990,90,210,7780,930
Centre North,1060,120,210,7600,1010
Centre North,1240,150,250,7610,730
Centre North,1060,90,310,7850,690
Centre North,1020,100,290,7620,960
Centre North,970,90,220,7700,1020
Centre North,1180,130,220,7450,1010
Centre North,1060,140,240,7690,850
Centre North,990,100,250,7630,1030
Centre North,1010,90,350,7630,940
Centre North,1040,90,250,7780,820
Centre North,1040,90,250,7810,810
Centre North,1020,90,350,7620,920
Centre North,1020,90,260,7620,1010
Centre North,1010,90,350,7610,930
Centre North,920,110,340,7720,910
Centre North,1030,100,250,7710,900
Centre North,960,90,300,7820,830
Centre North,1030,110,210,7810,840
Centre North,1010,100,240,7710,910
Centre North,1020,90,240,7800,850
Centre North,1120,90,300,7650,830
Centre North,1090,90,290,7710,800
Centre North,1100,120,280,7630,770
Centre North,1090,80,240,7820,760
Centre North,1150,90,250,7720,810
Centre North,1110,90,230,7810,750
Centre North,1010,110,210,7720,950
Centre North,1070,100,220,7730,870
Centre North,1280,110,290,7490,790
Centre North,1060,100,270,7740,810
Centre North,1010,90,210,7720,970
Centre North,990,120,250,7750,870
Centre North,960,80,240,7950,740
