tretman,vreme,zivotinja,masa
B,56,14,273
B,56,15,262
B,56,16,271
B,56,17,265
B,56,18,248
B,56,19,285
B,56,20,268
B,56,21,284
B,56,22,256
B,56,23,279
B,56,24,272
B,56,25,259
B,56,26,294
B,56,27,275
B,56,28,276
B,56,29,284
B,56,30,282
B,70,1,266
B,70,2,293
B,70,3,313
B,70,4,310
B,70,5,314
B,70,6,288
B,70,7,290
B,70,8,307
B,70,9,266
B,70,10,313
B,70,11,285
B,70,12,287
B,70,13,323
B,70,14,282
B,70,15,276
B,70,16,283
B,70,17,283
B,70,18,262
B,70,19,298
B,70,20,284
B,70,21,302
B,70,22,267
B,70,23,294
B,70,24,283
B,70,25,270
B,70,26,304
B,70,27,285
B,70,28,287
B,70,29,295
B,70,30,294
B,84,1,277
B,84,2,300
B,84,3,322
B,84,4,318
B,84,5,319
B,84,6,300
B,84,7,304
B,84,8,312
B,84,9,276
B,84,10,320
B,84,11,295
B,84,12,300
B,84,13,336
B,84,14,292
B,84,15,284
B,84,16,287
B,84,17,295
B,84,18,276
B,84,19,303
B,84,20,290
B,84,21,309
B,84,22,281
B,84,23,312
B,84,24,294
B,84,25,270
B,84,26,317
B,84,27,296
B,84,28,297
B,84,29,300
B,84,30,295
B,98,1,292
B,98,2,323
B,98,3,340
B,98,4,333
B,98,5,331
B,98,6,316
B,98,7,313
B,98,8,336
B,98,9,300
B,98,10,347
B,98,11,317
B,98,12,312
B,98,13,348
B,98,14,307
B,98,15,305
B,98,16,314
B,98,17,314
B,98,18,294
B,98,19,320
B,98,20,316
B,98,21,324
B,98,22,295
B,98,23,328
B,98,24,318
B,98,25,290
B,98,26,335
B,98,27,314
B,98,28,315
B,98,29,323
B,98,30,310
B,112,1,292
B,112,2,327
B,112,3,354
B,112,4,336
B,112,5,338
B,112,6,319
B,112,7,310
B,112,8,336
B,112,9,302
B,112,10,348
B,112,11,315
B,112,12,308
B,112,13,359
B,112,14,306
B,112,15,303
B,112,16,316
B,112,17,313
B,112,18,291
B,112,19,324
B,112,20,314
B,112,21,328
B,112,22,301
B,112,23,329
B,112,24,320
B,112,25,301
B,112,26,333
B,112,27,319
B,112,28,309
B,112,29,319
B,112,30,320
B,126,1,290
B,126,2,340
B,126,3,365
B,126,4,353
B,126,5,348
B,126,6,333
B,126,7,318
B,126,8,344
B,126,9,293
B,126,10,362
B,126,11,308
B,126,12,328
B,126,13,372
B,126,14,317
B,126,15,315
B,126,16,320
B,126,17,328
B,126,18,311
B,126,19,320
B,126,20,330
B,126,21,338
B,126,22,309
B,126,23,297
B,126,24,333
B,126,25,314
B,126,26,319
B,126,27,330
B,126,28,313
B,126,29,333
B,126,30,327
B,133,1,264
B,133,2,343
B,133,3,362
B,133,4,338
B,133,5,338
B,133,6,330
B,133,7,318
B,133,8,328
B,133,9,269
B,133,10,352
B,133,11,301
B,133,12,333
B,133,13,370
B,133,14,318
B,133,15,317
B,133,16,298
B,133,17,334
B,133,18,310
B,133,19,327
B,133,20,330
B,133,21,334
B,133,22,289
B,133,23,297
B,133,24,338
B,133,25,297
B,133,26,307
B,133,27,330
B,133,28,294
B,133,29,322
B,133,30,326
