id	plot	gen	year	time	weight
58	1988F7	F	1988	14	0.10
59	1988F7	F	1988	21	0.28
60	1988F7	F	1988	28	0.77
61	1988F7	F	1988	35	1.45
62	1988F7	F	1988	42	3.95
63	1988F7	F	1988	49	4.94
64	1988F7	F	1988	56	9.64
65	1988F7	F	1988	70	17.88
66	1988F7	F	1988	77	17.72
67	1988F8	F	1988	14	0.10
68	1988F8	F	1988	21	0.27
69	1988F8	F	1988	28	0.74
70	1988F8	F	1988	35	1.41
71	1988F8	F	1988	42	3.01
72	1988F8	F	1988	49	5.26
73	1988F8	F	1988	56	9.81
74	1988F8	F	1988	63	12.85
75	1988F8	F	1988	70	18.21
76	1988F8	F	1988	77	19.68
77	1988P1	P	1988	14	0.13
78	1988P1	P	1988	21	0.34
79	1988P1	P	1988	28	0.70
80	1988P1	P	1988	35	1.66
81	1988P1	P	1988	42	4.25
82	1988P1	P	1988	49	9.24
83	1988P1	P	1988	56	12.15
84	1988P1	P	1988	63	16.78
85	1988P1	P	1988	70	15.93
86	1988P1	P	1988	77	17.27
87	1988P2	P	1988	14	0.13
88	1988P2	P	1988	21	0.40
89	1988P2	P	1988	28	0.90
90	1988P2	P	1988	35	1.78
91	1988P2	P	1988	42	3.91
92	1988P2	P	1988	49	7.40
93	1988P2	P	1988	56	10.07
94	1988P2	P	1988	63	18.86
95	1988P2	P	1988	70	17.01
96	1988P2	P	1988	77	27.37
97	1988P3	P	1988	14	0.13
98	1988P3	P	1988	21	0.38
99	1988P3	P	1988	28	1.13
100	1988P3	P	1988	35	2.44
101	1988P3	P	1988	42	3.89
102	1988P3	P	1988	49	6.91
103	1988P3	P	1988	56	12.49
104	1988P3	P	1988	63	15.67
105	1988P3	P	1988	70	23.76
106	1988P3	P	1988	77	21.49
107	1988P4	P	1988	14	0.15
108	1988P4	P	1988	21	0.36
109	1988P4	P	1988	28	1.18
110	1988P4	P	1988	35	1.83
111	1988P4	P	1988	42	4.71
112	1988P4	P	1988	49	10.71
113	1988P4	P	1988	56	9.91
114	1988P4	P	1988	63	15.51
115	1988P4	P	1988	70	14.96
116	1988P4	P	1988	77	21.80
117	1988P5	P	1988	14	0.14
118	1988P5	P	1988	21	0.33
119	1988P5	P	1988	28	0.93
120	1988P5	P	1988	35	1.99
121	1988P5	P	1988	42	3.46
122	1988P5	P	1988	49	7.02
123	1988P5	P	1988	56	11.79
124	1988P5	P	1988	63	15.83
125	1988P5	P	1988	70	15.92
126	1988P5	P	1988	77	17.44
127	1988P6	P	1988	14	0.14
128	1988P6	P	1988	21	0.39
129	1988P6	P	1988	28	1.09
130	1988P6	P	1988	35	2.13
131	1988P6	P	1988	42	4.04
132	1988P6	P	1988	49	7.62
133	1988P6	P	1988	56	12.48
134	1988P6	P	1988	63	17.93
135	1988P6	P	1988	70	14.42
136	1988P6	P	1988	77	30.27
137	1988P7	P	1988	14	0.15
138	1988P7	P	1988	21	0.37
139	1988P7	P	1988	28	0.80
140	1988P7	P	1988	35	1.61
141	1988P7	P	1988	42	3.51
142	1988P7	P	1988	49	6.79
143	1988P7	P	1988	56	9.95
144	1988P7	P	1988	63	14.54
145	1988P7	P	1988	70	19.28
146	1988P7	P	1988	77	22.57
147	1988P8	P	1988	14	0.13
148	1988P8	P	1988	21	0.36
149	1988P8	P	1988	28	1.09
150	1988P8	P	1988	35	2.28
151	1988P8	P	1988	42	3.94
152	1988P8	P	1988	49	4.96
153	1988P8	P	1988	56	10.92
154	1988P8	P	1988	63	14.02
155	1988P8	P	1988	70	17.99
156	1988P8	P	1988	77	22.37
